DATE,GNPC96_NBD19820101
1959-01-01,45.71211
1959-04-01,46.73765
1959-07-01,46.79040
1959-10-01,46.94016
1960-01-01,47.97725
1960-04-01,47.72657
1960-07-01,47.97125
1960-10-01,47.37663
1961-01-01,47.71297
1961-04-01,48.49971
1961-07-01,49.43178
1961-10-01,50.40216
1962-01-01,51.29281
1962-04-01,51.78593
1962-07-01,52.42124
1962-10-01,52.64762
1963-01-01,53.19761
1963-04-01,53.77494
1963-07-01,54.95591
1963-10-01,55.32636
1964-01-01,56.52080
1964-04-01,57.11385
1964-07-01,58.01249
1964-10-01,58.15902
1965-01-01,59.61253
1965-04-01,60.37496
1965-07-01,61.67278
1965-10-01,63.04283
1966-01-01,64.58148
1966-04-01,64.80138
1966-07-01,65.33692
1966-10-01,65.88830
1967-01-01,66.46254
1967-04-01,66.49082
1967-07-01,67.15947
1967-10-01,67.64898
1968-01-01,69.03099
1968-04-01,70.18604
1968-07-01,70.74048
1968-10-01,71.01318
1969-01-01,72.11904
1969-04-01,72.31883
1969-07-01,72.77235
1969-10-01,72.41939
1970-01-01,72.32445
1970-04-01,72.44210
1970-07-01,73.09852
1970-10-01,72.28021
1971-01-01,74.31159
1971-04-01,74.73908
1971-07-01,75.29786
1971-10-01,75.50074
1972-01-01,76.90209
1972-04-01,78.62709
1972-07-01,79.40897
1972-10-01,80.72569
1973-01-01,82.79774
1973-04-01,83.73604
1973-07-01,83.41665
1973-10-01,84.20658
1974-01-01,83.63482
1974-04-01,83.77861
1974-07-01,82.91162
1974-10-01,82.47577
1975-01-01,81.36304
1975-04-01,81.94468
1975-07-01,83.38712
1975-10-01,84.62949
1976-01-01,86.49133
1976-04-01,87.15087
1976-07-01,87.63275
1976-10-01,88.28183
1977-01-01,89.43413
1977-04-01,91.13505
1977-07-01,92.75321
1977-10-01,92.65096
1978-01-01,93.07382
1978-04-01,96.47416
1978-07-01,97.50950
1978-10-01,98.93796
1979-01-01,99.13864
1979-04-01,99.36738
1979-07-01,100.32075
1979-10-01,100.55813
1980-01-01,100.89507
1980-04-01,98.73917
1980-07-01,98.54930
1980-10-01,100.13873
1981-01-01,102.14697
1981-04-01,101.33719
1981-07-01,102.60039
1981-10-01,101.62351
1982-01-01,100.00000
1982-04-01,100.58758
1982-07-01,100.01742
1982-10-01,100.01724
1983-01-01,101.31030
1983-04-01,103.65845
1983-07-01,105.73003
1983-10-01,107.95428
1984-01-01,109.95649
1984-04-01,111.84380
1984-07-01,112.90106
1984-10-01,113.70293
1985-01-01,114.58823
1985-04-01,115.62838
1985-07-01,117.24284
1985-10-01,118.18472
1986-01-01,119.19316
1986-04-01,119.54437
1986-07-01,120.74013
1986-10-01,121.21750
1987-01-01,122.16322
1987-04-01,123.56565
1987-07-01,124.61724
1987-10-01,126.79214
1988-01-01,127.57405
1988-04-01,129.18103
1988-07-01,129.86191
1988-10-01,131.63904
